Time,Settlement Period,Day of Week,Predicted_load
2016-01-11 00:00:00,1.0,0,31851.0
2016-01-11 00:30:00,2.0,0,31873.0
2016-01-11 01:00:00,3.0,0,30879.0
2016-01-11 01:30:00,4.0,0,29619.0
2016-01-11 02:00:00,5.0,0,28547.0
2016-01-11 02:30:00,6.0,0,28258.0
2016-01-11 03:00:00,7.0,0,27804.0
2016-01-11 03:30:00,8.0,0,27314.0
2016-01-11 04:00:00,9.0,0,26997.0
2016-01-11 04:30:00,10.0,0,27144.0
2016-01-11 05:00:00,11.0,0,27959.0
2016-01-11 05:30:00,12.0,0,29978.0
2016-01-11 06:00:00,13.0,0,34500.0
2016-01-11 06:30:00,14.0,0,37555.0
2016-01-11 07:00:00,15.0,0,41291.0
2016-01-11 07:30:00,16.0,0,43279.0
2016-01-11 08:00:00,17.0,0,44853.0
2016-01-11 08:30:00,18.0,0,45551.0
2016-01-11 09:00:00,19.0,0,46249.0
2016-01-11 09:30:00,20.0,0,46712.0
2016-01-11 10:00:00,21.0,0,47177.0
2016-01-11 10:30:00,22.0,0,47279.0
2016-01-11 11:00:00,23.0,0,47475.0
2016-01-11 11:30:00,24.0,0,47793.0
2016-01-11 12:00:00,25.0,0,48296.0
2016-01-11 12:30:00,26.0,0,48257.0
2016-01-11 13:00:00,27.0,0,48219.0
2016-01-11 13:30:00,28.0,0,48059.0
2016-01-11 14:00:00,29.0,0,48225.0
2016-01-11 14:30:00,30.0,0,48208.0
2016-01-11 15:00:00,31.0,0,47762.0
2016-01-11 15:30:00,32.0,0,48680.0
2016-01-11 16:00:00,33.0,0,50521.0
2016-01-11 16:30:00,34.0,0,50434.0
2016-01-11 17:00:00,35.0,0,52271.0
2016-01-11 17:30:00,36.0,0,53210.0
2016-01-11 18:00:00,37.0,0,53076.0
2016-01-11 18:30:00,38.0,0,52372.0
2016-01-11 19:00:00,39.0,0,51230.0
2016-01-11 19:30:00,40.0,0,49667.0
2016-01-11 20:00:00,41.0,0,48015.0
2016-01-11 20:30:00,42.0,0,46196.0
2016-01-11 21:00:00,43.0,0,44453.0
2016-01-11 21:30:00,44.0,0,42259.0
2016-01-11 22:00:00,45.0,0,40355.0
2016-01-11 22:30:00,46.0,0,38448.0
2016-01-11 23:00:00,47.0,0,36101.0
2016-01-11 23:30:00,48.0,0,34700.0
2016-01-12 00:00:00,1.0,1,33959.0
2016-01-12 00:30:00,2.0,1,33992.0
2016-01-12 01:00:00,3.0,1,32892.0
2016-01-12 01:30:00,4.0,1,31648.0
2016-01-12 02:00:00,5.0,1,30775.0
2016-01-12 02:30:00,6.0,1,30598.0
